,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
30,211,35,430,470,441,253,399,674,255,19,0,42,387,44,162,171,656,59,18,97,425,183,219,39,407,251,190,99,87,357,232,284,505,185,305,166,663,409,398,389
31,683,666,680,35,674,653,185,253,0,656,703,707,19,399,663,745,42,505,705,646,685,634,648,660,409,665,654,670,851,162,655,44,561,612,54,643,629,387,731,701
32,255,162,185,35,253,233,235,227,581,42,19,44,452,707,674,399,0,54,387,127,39,505,41,59,656,88,653,18,357,407,48,389,37,561,115,535,128,126,166,409
33,1118,35,0,1055,1117,656,1121,1077,674,44,1096,878,253,1098,685,407,505,399,1007,1103,851,995,59,990,1021,1134,1074,1112,1138,703,1113,895,1010,18,888,387,534,1051,991,873
34,35,253,0,255,387,674,399,42,19,44,656,389,59,162,189,505,39,18,211,425,185,452,87,357,99,407,491,112,409,535,561,54,305,323,219,166,37,126,629,534
35,658,35,674,23,253,59,0,42,132,39,19,44,648,185,755,452,635,54,505,653,877,387,663,368,656,18,180,189,405,162,629,593,752,126,956,409,664,691,117,535
36,35,401,133,995,0,253,142,757,921,674,996,970,399,42,505,44,656,19,452,162,387,59,39,255,407,814,561,629,185,357,534,1102,703,409,37,1055,389,631,535,18
37,653,707,583,35,185,674,452,253,42,0,44,505,656,19,399,703,162,612,603,357,561,41,535,660,629,407,255,323,54,39,513,631,685,387,128,389,635,59,851,731
38,35,674,253,399,656,0,505,19,42,44,255,59,262,39,387,162,452,690,185,87,18,629,561,631,703,663,731,603,535,54,407,635,126,357,491,851,689,166,305,37
39,1000,35,0,674,44,851,505,19,42,991,1007,725,387,253,59,990,1051,452,989,1075,656,535,1077,491,323,1002,713,1021,988,255,718,357,873,1055,653,1103,407,853,983,629
40,35,452,87,535,0,674,505,42,54,44,656,253,1077,59,168,19,804,399,686,715,39,407,162,255,678,357,18,387,629,648,685,491,737,888,653,185,13,561,703,612
41,64,222,35,100,120,253,44,279,19,42,185,291,399,41,36,87,387,39,162,233,18,115,59,674,128,48,452,409,65,505,491,389,255,54,117,305,407,238,126,102
42,1036,0,1077,399,1055,44,943,656,253,1096,686,42,983,35,1010,59,726,1007,1076,1037,513,491,452,80,18,1098,932,166,674,877,1034,703,852,407,635,778,948,97,991,629
43,253,35,1055,877,0,399,674,656,42,255,162,19,59,505,44,791,18,629,39,387,452,561,491,1077,87,603,407,836,631,166,323,851,190,534,219,99,852,535,126,409
44,35,19,674,253,399,42,44,255,39,59,505,0,656,162,387,185,126,18,87,452,54,561,407,535,409,629,357,166,37,180,219,21,99,117,323,491,603,305,41,128
45,35,44,452,185,387,253,42,674,561,399,19,407,491,162,505,653,0,656,59,39,389,255,233,534,128,357,612,18,115,87,54,513,157,535,41,323,581,37,409,305
46,35,491,674,399,253,42,19,44,656,59,505,0,255,387,39,162,452,18,185,87,561,54,357,407,535,166,99,629,37,126,534,603,409,323,305,1055,448,703,389,513
47,39,35,878,253,0,795,44,674,19,896,42,656,505,87,399,255,691,452,59,629,144,535,162,387,851,407,18,561,635,603,631,703,185,855,653,534,219,731,409,491
48,794,35,0,674,656,505,940,804,731,42,796,877,59,663,932,799,44,826,452,726,629,631,948,795,255,851,407,715,878,778,593,37,791,707,357,387,806,18,128,703
49,467,35,185,452,219,407,409,505,494,387,19,425,357,235,561,500,514,448,144,248,663,399,162,253,44,491,472,165,147,634,97,178,631,131,190,513,703,128,499,286
50,561,629,117,35,956,778,656,0,946,674,253,19,59,399,505,593,44,409,255,219,452,42,39,162,87,703,883,726,635,705,535,387,18,631,21,653,851,357,932,271
51,166,35,253,42,44,162,399,387,122,674,18,270,357,19,39,255,656,0,59,505,305,452,185,321,37,535,168,323,491,232,235,407,99,238,128,27,233,48,41,80
52,791,35,0,674,663,785,505,603,629,387,877,19,656,635,852,726,59,44,631,794,399,253,873,783,238,42,782,561,932,62,786,851,653,789,795,534,608,147,895,1075
53,425,35,253,162,19,399,505,185,452,389,409,42,0,387,232,44,233,115,407,581,674,323,54,255,59,271,357,222,48,99,227,36,65,448,398,514,219,653,305,235
54,18,35,1076,42,253,0,656,59,44,399,87,19,255,674,505,620,39,452,387,37,357,162,1055,491,603,535,629,407,166,852,99,182,804,534,1077,416,117,27,877,305
55,795,174,35,717,771,673,0,674,662,505,253,59,399,656,19,42,629,185,452,44,255,703,162,635,387,707,653,39,603,731,740,535,851,407,561,701,232,852,593,233
56,1169,1146,35,0,674,656,253,1171,13,1055,1021,1138,409,1077,1047,1051,1118,5,943,1098,1010,44,851,991,888,59,1157,399,1167,1103,635,1096,1170,731,42,1074,1087,505,1007,1091
57,253,505,35,399,42,674,656,0,162,68,255,44,19,59,452,39,18,87,387,407,535,491,561,166,409,357,629,323,126,603,305,185,631,219,686,448,54,1055,271,99
58,35,674,253,399,19,42,255,656,44,0,59,505,39,387,162,185,18,87,452,54,561,166,126,629,99,37,535,603,357,409,491,180,407,305,323,663,219,1055,168,631
59,35,674,253,399,0,656,505,19,715,44,42,255,59,607,1010,39,387,162,452,18,185,87,629,600,561,631,981,54,603,491,635,407,535,357,703,37,653,851,153,852
60,827,737,745,35,103,0,674,925,1134,253,656,851,19,42,162,703,505,399,44,561,740,452,731,718,705,255,631,39,873,59,132,653,612,778,387,185,389,535,701,726
61,674,35,600,399,0,253,656,505,44,59,255,629,631,452,561,387,42,635,19,603,663,162,703,852,851,39,534,407,731,535,18,648,491,804,87,653,737,54,1055,715
62,35,653,851,253,674,42,0,128,41,162,452,44,19,505,399,877,581,185,656,255,387,59,407,678,607,39,450,535,491,54,357,826,703,629,785,112,323,18,66,87
63,449,35,387,253,452,59,399,44,42,78,305,431,162,674,0,189,603,498,505,407,448,750,232,168,629,535,174,97,459,616,262,450,411,120,219,220,238,656,389,170
64,189,35,253,399,0,59,534,37,255,42,387,44,162,18,656,674,224,19,185,39,852,54,23,305,505,180,99,157,12,188,132,168,235,452,166,635,407,87,62,409
65,990,1118,35,0,1045,656,1151,1038,898,674,1055,1117,505,44,1077,253,1010,1021,1000,991,1121,1096,1007,42,948,399,407,59,851,1051,873,877,1047,888,19,878,1098,629,895,631
66,232,357,407,35,204,452,42,431,44,171,253,19,399,387,505,0,162,255,674,389,39,656,59,238,535,491,87,18,297,323,54,305,185,270,166,128,561,235,409,355
67,233,41,35,271,222,536,253,185,162,44,255,452,19,227,42,399,387,511,54,505,674,0,39,653,59,407,357,491,102,656,128,219,18,180,409,389,36,115,126,323
68,255,35,253,399,99,19,42,0,674,44,505,656,18,387,162,536,59,535,185,39,357,452,87,851,629,219,407,561,323,491,852,534,211,166,37,189,54,117,168,305
69,27,956,276,35,0,656,59,42,18,253,44,255,399,674,39,87,19,561,629,166,505,387,703,271,593,25,357,877,452,162,409,54,188,185,804,1055,416,180,535,270
70,943,35,224,264,668,399,0,253,395,656,42,44,674,37,1187,387,255,59,162,19,18,505,452,87,39,491,357,409,189,561,534,629,631,448,535,603,407,703,1077,635
71,1000,286,695,35,253,233,0,44,19,162,227,674,42,656,452,59,387,505,399,561,185,407,653,344,39,581,357,703,851,36,323,389,491,409,316,629,255,718,168,54
72,399,35,553,584,253,674,16,0,19,42,505,656,59,255,387,44,561,18,39,491,87,603,162,534,629,452,409,407,224,37,189,448,635,185,126,166,631,99,852,703
73,124,35,19,253,117,162,168,54,323,387,112,83,18,452,505,133,42,255,171,128,87,246,65,561,44,232,305,125,126,204,270,674,357,399,39,216,67,398,25,59
74,795,35,0,674,253,505,629,42,656,407,59,703,255,731,399,19,635,452,878,786,851,852,44,758,653,806,715,535,877,387,686,804,1010,798,799,794,847,612,534,593
75,27,183,35,406,777,59,253,42,674,44,399,87,656,18,255,387,39,0,19,162,407,185,166,452,54,629,479,357,505,25,491,219,23,211,535,804,216,323,703,635
76,253,35,147,731,0,399,674,450,42,162,255,19,505,656,755,44,59,668,18,39,452,387,631,561,87,629,185,535,37,409,219,407,166,703,603,323,851,653,232,357
77,1005,728,35,0,674,1010,653,981,658,656,703,1001,505,185,852,969,900,740,880,255,705,686,752,990,54,726,895,785,707,128,452,956,731,527,534,162,1000,978,650,655
78,703,35,674,656,42,0,505,253,399,44,452,59,705,535,629,631,185,491,612,740,653,39,19,707,851,701,561,731,387,713,690,685,255,87,37,686,646,715,583,389
79,253,35,0,399,387,42,674,19,44,656,409,535,407,505,452,219,162,126,631,59,255,389,232,39,233,128,18,87,877,357,561,491,185,270,416,629,703,305,323,54
80,53,359,35,19,253,44,23,21,42,305,126,387,185,39,62,54,452,399,37,230,219,98,612,0,389,383,656,65,87,76,59,162,505,22,41,189,674,323,117,168
81,399,35,425,253,0,674,914,152,42,505,19,656,59,255,387,162,44,491,39,87,407,452,964,185,18,534,409,603,37,99,189,224,653,629,631,389,448,357,561,166
82,991,887,35,0,656,851,674,253,873,827,881,892,1000,1077,505,888,19,859,878,705,951,842,718,940,561,1007,389,1010,956,703,990,897,255,42,425,629,1138,944,162,948
83,1010,0,35,674,656,253,399,42,505,255,956,1021,629,44,1051,491,631,1077,59,1001,852,1055,945,973,1096,981,534,943,1007,535,593,932,357,37,804,978,126,726,991,452
84,399,35,189,224,253,0,674,42,656,255,59,505,19,387,44,39,162,18,87,534,491,37,852,409,99,166,603,407,448,629,452,561,185,357,305,635,168,62,126,219
85,347,35,616,253,387,399,255,39,19,674,44,357,0,238,603,656,323,505,232,235,407,42,185,534,389,513,132,157,851,535,452,182,168,251,147,665,271,494,204,166
86,660,653,35,185,54,41,505,42,44,674,253,387,654,452,656,323,19,389,663,128,683,745,581,561,635,701,25,703,740,162,39,646,981,399,629,583,608,612,0,65
87,128,35,102,185,41,42,253,44,19,25,387,162,452,54,115,653,126,36,407,674,243,157,0,232,399,96,323,408,37,233,60,66,18,65,39,166,117,99,59,62
88,35,39,219,629,117,233,253,180,635,19,44,42,674,656,399,162,59,183,255,505,452,87,0,222,387,185,131,18,213,561,409,82,21,593,407,54,126,271,535,227
89,848,35,851,0,674,656,505,162,39,878,942,399,852,888,740,847,731,42,253,872,635,804,853,603,827,612,859,705,877,663,631,653,561,44,737,745,129,864,271,956
90,758,35,0,656,399,674,42,703,804,452,629,59,19,705,387,701,253,44,535,255,635,748,416,740,516,755,726,795,877,731,1077,707,505,603,631,770,851,168,718,737
91,399,35,188,253,674,0,42,505,656,59,255,387,19,44,491,87,39,18,162,189,407,534,37,224,603,166,629,448,409,561,452,357,185,631,99,62,703,1077,852,607
92,656,851,35,0,785,674,505,1007,253,399,629,44,42,59,255,452,703,1085,1055,39,18,491,19,804,1077,561,387,87,535,635,653,877,932,631,162,686,731,663,357,407
93,19,35,389,31,253,44,126,42,162,39,399,387,452,255,185,505,59,674,18,87,407,54,400,409,0,117,656,357,535,41,219,115,232,21,561,233,305,323,128,65
94,59,535,35,253,405,399,42,505,87,44,19,0,674,656,39,18,452,255,407,387,357,491,236,629,409,120,420,162,126,45,418,678,389,561,54,703,593,185,166,379
95,87,35,39,59,44,448,18,505,42,399,253,656,19,452,535,0,674,629,255,387,357,37,409,54,407,162,126,561,491,100,339,168,534,68,570,389,305,416,117,185
96,745,35,213,799,88,769,0,162,253,1103,44,42,674,452,387,656,399,255,357,19,59,1153,505,407,115,54,491,102,612,703,18,513,323,581,561,185,233,514,37,594
97,607,35,399,253,674,505,19,631,162,635,0,653,387,612,39,593,255,603,42,452,44,629,600,656,851,59,581,804,514,513,599,407,703,663,686,705,785,18,610,648
98,113,44,185,27,35,42,23,253,166,54,19,128,41,122,102,0,39,387,25,98,16,18,32,75,115,48,133,190,52,162,126,238,65,189,127,399,62,96,124,877
99,35,674,253,399,42,19,255,44,321,656,0,59,505,39,387,162,185,18,87,452,166,54,357,561,99,37,491,126,305,629,603,535,407,323,409,631,180,1055,389,219
100,253,42,35,44,399,0,162,255,19,18,59,505,656,674,39,357,387,452,166,37,185,87,270,407,54,491,323,48,126,535,561,305,409,99,629,102,219,232,238,603
101,755,35,0,253,399,932,674,726,255,656,59,705,629,635,804,505,631,593,534,703,758,658,162,42,740,18,44,1077,405,786,878,561,686,748,852,718,943,603,612,851
102,35,0,42,44,19,505,59,253,674,39,399,656,87,452,255,387,603,162,18,629,357,535,185,407,491,877,686,561,731,37,54,238,235,726,126,703,132,705,631,409
103,284,35,814,674,253,505,42,0,162,731,631,211,255,629,399,851,561,19,44,513,656,635,262,534,705,387,59,87,357,168,448,1055,603,827,41,183,18,593,452,171
104,610,620,35,624,674,656,629,253,0,44,505,653,399,452,87,635,631,42,603,535,593,607,59,19,18,513,648,612,703,646,561,387,581,605,654,409,616,514,740,255
105,0,128,35,253,42,674,656,399,44,26,19,59,255,387,185,162,452,505,18,1077,102,39,491,126,15,1055,653,877,37,41,87,631,357,534,561,407,804,54,305,612
106,98,35,78,19,253,42,97,232,48,112,44,126,399,18,59,39,255,22,674,128,185,62,387,60,36,389,117,12,87,21,323,452,65,238,505,41,494,29,162,129
107,398,397,35,253,399,387,42,389,162,452,431,349,255,674,425,62,491,232,388,19,126,235,401,414,494,39,98,44,204,170,383,392,12,157,87,251,409,246,505,125
108,99,35,90,255,253,42,399,162,0,18,674,44,19,39,87,491,387,656,59,166,505,531,146,629,37,62,271,535,168,23,304,98,54,852,189,128,357,126,117,339
109,133,253,35,162,126,41,42,19,147,18,117,54,127,48,83,115,185,399,125,44,285,25,23,128,0,21,389,59,227,407,674,93,208,65,387,180,129,96,39,124
110,129,119,35,135,19,126,253,534,387,39,656,44,117,87,399,132,162,42,168,268,452,18,59,357,185,131,674,189,409,0,115,389,23,21,219,629,147,80,145,255
111,561,18,35,219,166,253,499,42,500,19,494,44,399,162,656,674,505,0,59,409,255,39,387,452,87,357,535,117,467,491,407,492,185,389,705,37,631,629,21,271
112,0,39,35,416,271,253,656,956,42,44,13,674,399,505,19,59,87,1007,255,18,452,629,387,1055,162,561,357,1077,67,631,535,407,491,37,1111,851,185,804,1010,703
113,956,785,35,0,656,674,505,629,703,399,59,19,718,42,39,1055,593,978,44,253,255,1010,561,726,452,804,18,851,87,491,707,535,686,631,271,603,635,826,877,946
114,991,1112,939,5,0,10,35,674,656,1077,253,851,1122,561,42,1055,19,255,505,1000,1118,1021,59,1117,13,452,940,44,878,399,1007,990,942,1103,827,1138,629,1010,1073,703
115,561,147,35,946,82,253,388,0,19,674,409,505,399,656,162,42,255,219,59,44,452,117,185,87,39,18,629,96,387,126,535,491,97,232,705,500,357,593,190,48
116,365,35,407,216,389,253,44,41,59,238,357,255,19,147,54,128,208,162,452,305,115,535,232,185,387,656,37,399,235,39,48,0,227,653,409,408,505,401,133,405
117,295,35,389,185,126,19,0,383,219,399,409,44,344,227,65,222,48,581,83,115,125,39,674,654,316,631,323,705,387,36,561,315,208,155,233,414,42,60,153,407
118,827,35,873,674,851,0,253,830,631,656,942,718,162,703,561,505,389,616,871,826,878,19,872,740,612,804,766,232,877,859,748,896,705,887,864,778,42,44,780,452
119,35,674,253,399,19,42,255,44,656,59,0,505,39,387,162,185,18,87,452,24,54,126,561,37,166,629,357,535,99,407,45,180,305,491,603,409,323,21,168,219
120,48,35,42,253,185,44,127,19,162,65,39,115,452,98,255,102,18,60,87,41,491,125,54,0,96,157,505,323,166,409,305,357,147,407,561,59,387,36,399,425
121,558,833,554,35,515,0,399,674,19,452,656,253,561,407,44,535,387,505,552,629,653,87,534,42,59,323,255,650,99,612,731,491,305,873,270,851,553,126,431,39
122,242,35,19,115,273,147,219,255,171,323,357,162,409,233,125,117,173,59,54,452,185,102,44,126,561,253,387,199,243,168,87,23,213,389,39,41,50,25,327,262
123,98,35,320,72,19,42,253,44,399,18,39,78,126,59,87,232,97,48,674,36,452,162,255,505,117,128,112,60,387,132,168,22,656,21,389,62,323,65,129,305
124,35,674,253,399,1010,19,42,0,255,656,44,59,505,39,387,162,185,18,87,452,54,561,629,126,166,37,535,491,357,603,99,1055,631,305,180,407,409,323,534,852
125,561,718,660,35,674,253,19,656,0,409,505,653,399,162,452,42,255,219,705,44,629,387,39,535,703,603,185,59,631,54,87,553,491,745,117,357,740,663,233,500
126,253,35,232,115,162,399,42,19,255,0,44,674,59,39,656,505,18,389,387,166,452,185,128,117,87,126,323,407,48,235,190,219,102,96,561,409,147,41,357,37
127,39,407,35,305,452,44,42,253,19,505,87,162,399,387,656,674,357,0,255,535,18,59,491,436,185,323,54,37,629,166,389,448,157,115,219,270,653,126,612,409
128,35,561,452,87,674,253,409,399,19,44,42,233,505,59,0,656,39,162,255,387,715,185,18,407,36,357,54,491,535,660,219,653,389,629,126,122,703,41,448,22
129,696,1082,35,674,705,399,656,253,44,19,0,42,731,499,59,541,510,629,686,535,357,1055,991,685,703,1075,387,634,561,505,409,648,713,162,873,692,452,407,678,1091
130,54,35,24,185,42,19,44,162,253,41,452,87,23,505,37,674,59,357,102,387,407,25,654,18,128,653,255,180,88,305,39,115,535,399,132,685,408,117,126,323
131,534,35,78,187,119,253,399,0,283,19,161,42,656,674,44,59,491,255,189,98,505,387,18,39,452,87,629,12,162,261,305,126,145,139,389,409,561,37,357,23
132,35,674,253,99,399,19,42,663,255,44,182,505,656,59,0,648,162,39,387,18,452,185,646,87,66,643,629,125,561,54,126,535,407,219,409,653,631,491,168,357
133,157,339,35,411,382,44,253,399,42,505,598,387,452,0,524,162,19,407,674,59,39,305,656,629,357,87,389,54,185,535,255,18,323,37,627,102,168,631,653,232
134,505,534,35,97,516,253,399,674,42,656,452,44,0,174,19,59,387,39,255,491,87,535,411,162,18,407,561,629,449,357,409,219,232,185,126,653,703,305,603,448
135,35,18,253,674,399,19,132,42,255,59,44,216,0,656,505,39,162,387,87,452,185,434,405,28,269,54,37,126,407,535,561,166,99,357,76,389,491,409,168,305
136,1007,0,35,253,513,656,973,505,674,1000,44,1055,1010,991,851,19,653,452,399,1118,1021,37,948,990,895,1077,323,1051,387,185,940,703,705,945,42,877,270,255,981,407
137,44,35,42,387,39,19,357,505,253,452,0,656,37,18,674,162,87,407,59,185,255,491,399,54,166,535,323,612,629,270,409,128,603,653,686,631,305,80,115,48
138,0,35,1096,656,253,674,399,5,42,1077,59,44,255,505,1055,452,804,18,1098,1010,852,1117,561,877,387,631,534,19,851,357,37,491,943,629,13,932,87,162,726,612
139,35,399,42,0,44,59,39,253,18,87,387,674,19,505,656,37,409,255,162,452,448,357,189,491,185,132,407,629,535,54,561,126,166,339,305,389,323,581,534,603
140,0,35,253,656,399,674,42,1077,59,44,255,1055,505,18,804,877,387,943,852,534,1098,631,452,561,1010,19,491,357,37,1117,851,629,799,932,162,87,13,39,731,612
141,0,44,35,323,42,253,270,271,513,674,1010,399,505,656,452,387,162,357,59,19,255,39,491,18,407,37,87,185,152,54,629,631,535,653,612,305,1077,1055,166,561
142,35,674,253,399,19,42,255,656,44,0,59,505,39,387,162,185,18,87,452,54,561,166,629,126,99,37,357,603,535,409,180,407,491,663,305,323,219,1055,168,631
143,188,35,253,44,505,42,59,255,387,18,399,674,39,37,491,87,656,0,407,162,416,189,19,27,54,166,126,62,323,612,168,686,185,238,305,535,726,357,233,629
144,238,35,42,253,44,603,232,0,399,387,204,674,39,59,19,185,323,235,87,162,166,357,297,656,255,18,56,505,535,616,128,407,168,219,452,37,629,12,227,230
145,409,35,608,798,16,454,253,19,399,561,674,0,44,42,505,656,59,452,387,87,18,39,162,761,491,603,255,126,219,357,383,448,631,629,389,185,535,225,407,117
146,219,35,190,305,253,405,399,414,19,42,44,67,255,0,39,505,387,137,674,59,162,117,656,407,409,87,18,561,452,389,257,293,357,232,185,235,323,166,535,355
147,656,35,0,1112,674,253,629,505,399,59,42,44,255,18,1055,452,39,804,561,703,87,387,491,535,357,19,932,686,1077,851,448,162,635,631,655,416,603,407,593,1117
148,35,42,505,39,452,253,674,44,399,19,126,656,59,0,255,232,162,87,387,271,132,18,189,407,182,185,357,535,491,54,129,629,339,561,409,37,323,389,166,219
149,185,35,54,357,41,407,42,452,44,19,408,253,387,162,505,39,653,82,674,40,255,399,37,128,59,102,25,87,0,18,23,491,323,389,233,305,535,36,115,656
150,253,0,35,42,59,18,44,399,656,674,535,603,505,54,19,255,270,162,804,39,452,87,387,357,238,726,491,629,37,1010,185,407,166,561,826,469,126,323,1055,631
151,35,0,674,253,534,399,1077,42,877,656,128,19,44,59,255,505,62,513,387,162,39,452,18,185,87,491,629,561,37,1055,357,54,407,126,653,631,323,535,852,823
152,452,39,35,357,54,42,44,612,253,19,505,23,62,407,162,648,674,0,185,656,399,59,87,387,255,18,653,535,213,491,629,643,37,658,323,41,305,409,126,115
153,390,533,35,217,561,253,19,409,59,238,399,235,387,44,129,117,505,87,271,383,389,629,239,500,603,448,147,425,115,452,513,39,705,219,21,213,42,457,377,404
154,656,703,35,877,0,1074,674,253,505,629,59,42,399,44,452,255,18,491,39,87,535,1055,561,19,387,851,804,631,740,407,357,940,686,162,932,1077,726,653,971,635
155,35,656,674,253,399,0,42,505,19,44,59,255,39,387,18,629,87,162,452,185,561,491,535,1055,357,54,166,603,126,703,407,37,448,631,851,409,635,305,663,804
156,399,42,19,35,253,44,0,59,505,39,255,674,18,162,387,656,273,452,357,87,126,185,146,407,37,491,54,166,535,409,561,629,389,270,323,448,534,305,99,128
157,35,253,185,59,42,674,399,44,54,19,653,357,0,323,162,389,232,255,452,505,656,387,39,18,270,96,87,98,227,407,41,491,535,37,126,233,128,166,561,409
158,33,35,253,42,18,399,19,44,0,596,59,37,299,491,305,387,87,189,23,126,62,166,603,12,99,98,211,357,269,505,232,66,90,168,795,16,416,224,405,389
159,1112,0,253,674,1055,656,35,1073,1103,42,1118,255,872,1077,19,1098,1111,13,561,991,162,1000,1075,18,995,1084,219,1091,10,1117,505,1100,946,1138,745,399,48,1051,185,323
160,0,35,656,674,848,253,946,983,752,399,42,59,505,44,868,664,255,1055,629,851,1077,19,561,804,603,387,932,877,852,631,18,452,162,1010,39,491,703,653,726,635
161,616,827,665,347,35,674,0,253,656,399,505,255,603,232,44,42,387,873,631,19,851,39,703,452,407,238,535,653,235,663,612,162,185,357,59,271,323,740,629,425
162,35,674,253,399,19,42,255,44,0,656,59,39,505,387,85,162,185,87,18,384,452,561,99,54,629,126,166,37,535,603,409,491,305,390,357,438,389,407,180,168
163,584,35,399,674,253,505,603,59,635,255,656,628,387,534,18,852,561,19,42,629,452,581,0,600,407,39,552,305,731,479,44,686,715,631,27,416,692,553,559,884
164,253,35,399,162,0,255,42,19,674,656,18,59,44,505,39,166,387,561,409,87,219,323,126,452,189,99,190,271,232,235,603,185,117,180,305,631,270,407,629,37
